groupKey,sourceType,destinationKey,sourceCopyId,title,sourceTitle,currentAdsets,currentAdsetCount,recommendedConcept,recommendedAdset,visualReason,liveAdIds
curated-26-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,grocery.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565583300293 | 120245548324280293
curated-27-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,women_health.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 3 - GLP Doctor-Missed Side Effect,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565575660293 | 120245548300250293
curated-28-glp,standard_curated,glp,,What GLP-1 Does to Your Drive,health_cute_advertorial.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 3 - GLP Doctor-Missed Side Effect,2,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245565567510293 | 120245548286080293
curated-29-glp,standard_curated,glp,,Keep Your Drive Steady on GLP-1s,5.png,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565433800293 | 120245547837810293
curated-30-glp,standard_curated,glp,,The GLP-1 Side Effect No One Mentions,fb_message_ad.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C1,Concept 1 - GLP Hidden Drive Drain,"GLP visual is about drive/energy/fatigue drain after GLP-1 weight loss, without a primary doctor/research frame.",120245565559840293 | 120245548270330293
tenor-01-C001-glp,tenor_package,glp,COPY001,What GLP-1 Does to Your Drive,What GLP-1 Does to Your T Levels,Concept 1 - GLP Hidden Drive Drain,1,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245548941330293
tenor-02-C002-glp,tenor_package,glp,COPY001,What GLP-1 Does to Your Drive,What GLP-1 Does to Your T Levels,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565794240293 | 120245548931830293
tenor-03-C004-glp,tenor_package,glp,COPY001,What GLP-1 Does to Your Drive,What GLP-1 Does to Your T Levels,Concept 1 - GLP Hidden Drive Drain | Concept 3 - GLP Doctor-Missed Side Effect,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565787480293 | 120245548923810293
tenor-04-C006-glp,tenor_package,glp,COPY001,What GLP-1 Does to Your Drive,What GLP-1 Does to Your T Levels,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565783080293 | 120245548914880293
tenor-05-C011-glp,tenor_package,glp,COPY001,What GLP-1 Does to Your Drive,What GLP-1 Does to Your T Levels,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565777310293 | 120245548902730293
tenor-06-C008-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565770990293 | 120245548895590293
tenor-07-C003-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 2 - GLP Muscle + Metabolism Protection,1,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245548889430293
tenor-08-C009-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 2 - GLP Muscle + Metabolism Protection | Concept 3 - GLP Doctor-Missed Side Effect,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565765270293 | 120245548883140293
tenor-09-C007-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565758330293 | 120245548875310293
tenor-10-C005-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565751690293 | 120245548865970293
tenor-11-C010-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 1 - GLP Hidden Drive Drain | Concept 2 - GLP Muscle + Metabolism Protection,2,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245565745320293 | 120245548857920293
tenor-12-C012-glp,tenor_package,glp,COPY002,Keep Your Drive Steady on GLP-1s,Keep Muscle + Metabolism on GLP-1s,Concept 2 - GLP Muscle + Metabolism Protection,1,C2,Concept 2 - GLP Muscle + Metabolism Protection,"GLP visual is primarily body-composition, muscle, definition, metabolism, or before/after physique protection.",120245548847040293
tenor-13-C013-glp,tenor_package,glp,COPY003,The GLP-1 Side Effect No One Mentions,The GLP-1 Side Effect No One Mentions,Concept 3 - GLP Doctor-Missed Side Effect,1,C3,Concept 3 - GLP Doctor-Missed Side Effect,"GLP visual uses doctor, medical, research, warning, article, or side-effect framing as the dominant hook.",120245548839200293
curated-01-quiz,standard_curated,quiz,,Stop Losing Drive. Start Today.,Static #3.png,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565554300293 | 120245548254270293
curated-02-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,7.png,Concept 5 - Quiz Offer / Proof / Guarantee,1,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245547655270293
curated-03-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,derm_fag.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565546590293 | 120245548232720293
curated-04-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,spanish_doctor_cta.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565537520293 | 120245548221700293
curated-05-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,6.png,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565529250293 | 120245548205280293
curated-06-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,fatigue.jpg,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565520720293 | 120245548167640293
curated-07-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,Static #4.png,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565356280293 | 120245547632290293
curated-08-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,care_bag.jpg,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565511890293 | 120245548140660293
curated-09-quiz,standard_curated,quiz,,Stop Losing Drive. Start Today.,8.png,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565360230293 | 120245547646580293
curated-10-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,Static #1.png,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565503270293 | 120245548077680293
curated-11-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,Static #2.png,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565466100293 | 120245547937110293
curated-12-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,11.png,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565457710293 | 120245547917060293
curated-13-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,old_school.jpg,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565474940293 | 120245547951800293
curated-14-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,drawing.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565489550293 | 120245548008420293
curated-15-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,brush.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565495300293 | 120245548038020293
curated-16-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,_initial_swipe_contact_sheet.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565417630293 | 120245547808120293
curated-17-quiz,standard_curated,quiz,,Stop Losing Drive. Start Today.,researchers.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565425580293 | 120245547824270293
curated-18-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,target_1.jpg,Concept 5 - Quiz Offer / Proof / Guarantee,1,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245547857090293
curated-19-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,big_text.jpg,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565482270293 | 120245547965700293
curated-20-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,9.png,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565444020293 | 120245547868430293
curated-21-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,10.png,Concept 4 - Quiz Daily Decline / System Problem,1,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245547787990293
curated-22-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,12.png,Concept 5 - Quiz Offer / Proof / Guarantee,1,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245547775070293
curated-23-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,raise_a_winner.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565411660293 | 120245547761100293
curated-24-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,boss_babe.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565404140293 | 120245547747030293
curated-25-quiz,standard_curated,quiz,,Stop Losing Drive. Start Today.,green.jpg,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565370170293 | 120245547677420293
curated-26-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,grocery.jpg,Concept 5 - Quiz Offer / Proof / Guarantee,1,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245547710850293
curated-27-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,women_health.jpg,Concept 1 - GLP Hidden Drive Drain | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565383840293 | 120245547694450293
curated-28-quiz,standard_curated,quiz,,52% Off + 90-Day Guarantee,health_cute_advertorial.jpg,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565391920293 | 120245547719870293
curated-29-quiz,standard_curated,quiz,,90-Day Guarantee. Because It Works.,5.png,Concept 3 - GLP Doctor-Missed Side Effect | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565398730293 | 120245547732230293
curated-30-quiz,standard_curated,quiz,,52% Off Limited-Time Welcome Offer,fb_message_ad.jpg,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565375630293 | 120245547684690293
tenor-14-C022-quiz,tenor_package,quiz,COPY011,Stop Losing Drive. Start Today.,Stop Losing T. Start Today.,Concept 4 - Quiz Daily Decline / System Problem,1,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245548830990293
tenor-15-C019-quiz,tenor_package,quiz,COPY011,Stop Losing Drive. Start Today.,Stop Losing T. Start Today.,Concept 4 - Quiz Daily Decline / System Problem | Concept 5 - Quiz Offer / Proof / Guarantee,2,C5,Concept 5 - Quiz Offer / Proof / Guarantee,"Quiz visual is offer/proof/protocol/guarantee led: price, product stack, guarantee, testimonial/social proof, or clear protocol benefit.",120245565737940293 | 120245548820340293
tenor-16-C020-quiz,tenor_package,quiz,COPY011,Stop Losing Drive. Start Today.,Stop Losing T. Start Today.,Concept 1 - GLP Hidden Drive Drain | Concept 4 - Quiz Daily Decline / System Problem,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565728830293 | 120245548795400293
tenor-17-C016-quiz,tenor_package,quiz,COPY012,52% Off Limited-Time Welcome Offer,50% Off + Free Gifts 🚀,Concept 2 - GLP Muscle + Metabolism Protection | Concept 5 - Quiz Offer / Proof / Guarantee,2,C4,Concept 4 - Quiz Daily Decline / System Problem,"Quiz visual is a symptom/assessment/problem hook: low energy, not feeling yourself, aging, hidden energy killers, or quiz diagnosis.",120245565724660293 | 120245548781940293
