"ad_id","stage","headline","destination_token","destination_key","final_url","asset_id","public_id","local_image_path"
"L2","listicle","What Your Label Hid (20 chars)","{{LISTICLE_A_URL_PENDING}}","listicle_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/3-reasons-your-t-booster-failed-and-none-of-them-are-your-fault/","","",""
"L3","listicle","Feel Like Yourself Again (24 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L4","listicle","10 Seconds Each Morning (23 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L5","listicle","1,203 Men. 4 Results. (22 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L6","listicle","Backed by Research (19 chars)","{{LISTICLE_B_URL_PENDING}}","listicle_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","","",""
"L7","listicle","Not Who You Are (17 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L8","listicle","Just You, Restored (17 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L9","listicle","Mark, 47: ""Night and Day"" (26 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L10","listicle","Nothing to Hide (16 chars)","{{LISTICLE_A_URL_PENDING}}","listicle_a","https://shoptenorco.com/8b89a76d/daily-drive-essentials/3-reasons-your-t-booster-failed-and-none-of-them-are-your-fault/","","",""
"L11","listicle","810K+ Men. 90-Day Guarantee. (30 chars)","{{LISTICLE_C_URL_PENDING}}","listicle_c","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","","",""
"L12","listicle","One Protocol. Done. (19 chars)","{{LISTICLE_B_URL_PENDING}}","listicle_b","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","","",""
"PDP1","pdp","$35/mo. 90-Day Guarantee. (25 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
"PDP2","pdp","""I Knew I Wasn't Going Back"" (30 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
"PDP3","pdp","Check Your Label First (23 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
"PDP4","pdp","Every Dose. Right There. (24 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
"PDP5","pdp","Morning Energy That Lasts (25 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
"PDP6","pdp","""You Can See What You're Taking"" (33 chars)","{{PDP_URL_PENDING}}","sales_pdp","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","","",""
