adId,stage,hookType,headline,primaryText,format,sourceDestination,destinationKey,destinationToken,finalUrl,rationale
"L4","listicle","Desire","10 Seconds Each Morning (23 chars)","2 capsules. Every morning. 10 seconds. That's the protocol 92% of men said made them feel more like themselves — drive, mood, confidence restored. Not a complex regimen. Not a prescription. Not a lifetime commitment. Just a daily protocol that addresses what T-boosters miss. [Link]","Single image — 2 capsules on a wooden surface, morning light","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L5","listicle","Social Proof","1,203 Men. 4 Results. (22 chars)","1,203 men tried this protocol. 94% reported sustained morning energy. 92% said they felt more like themselves. 87% felt sharper focus. 81% noticed improved stamina within weeks. These aren't marketing claims — they're survey results from men who switched from single-axis T-boosters to a complete protocol. [Link]","Carousel — 4 stat cards, 1 per slide, final card CTA","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L6","listicle","Social Proof","Backed by Research (19 chars)","Five researchers. Three biological pathways. One daily protocol. The Multi-Pathway approach is informed by published research across endocrinology (King's College London), vascular biology (Medical College of Georgia), and men's health (UC Irvine). This is what happens when the science gets specific. [Link]","Single image — researcher imagery (abstract, bookshelf background)","","listicle_b","{{LISTICLE_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","Listicle B is the mechanism/contrarian variant; this ad emphasizes incomplete science, pathways, or protocol architecture."
"L7","listicle","Fear","Not Who You Are (17 chars)","The checked-out husband. It's not who you are — it's what happens when your energy, drive, and presence quietly erode and no one gives you a name for why. 92% of men who addressed all three biological pathways reported feeling more like themselves. Before it costs more than your afternoon coffee. [Link]","Video — man looking at family photo, then active/engaged with family","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L8","listicle","Desire","Just You, Restored (17 chars)","Not 25 again. Not superhuman. Not ""alpha"" anything. Just the version of yourself people remember — the one who didn't need 3 coffees to function, who stayed present in conversations, who had energy left at the end of the day. That's what 92% of men reported. And it starts with 2 capsules each morning. [Link]","Single image — man mid-40s, engaged, domestic setting, heavy shadow","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L9","listicle","Social Proof","Mark, 47: ""Night and Day"" (26 chars)","""Three months in and the difference is night and day. My energy is steady all day. I'm present with my wife and kids again. I didn't realize how far I'd drifted."" — Mark, 47. One of 1,203 men surveyed. 92% reported feeling more like themselves. Here's the protocol they followed. [Link]","Single image — testimonial quote card on Bone background","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L10","listicle","Contrarian","Nothing to Hide (16 chars)","""Proprietary Blend"" is legalized lying. Three words that let a company hide sub-clinical doses behind a single number while charging you for ingredients you're barely getting. You didn't fail those supplements. They were designed to fail you. Here's what a label looks like when there's nothing to hide. [Link]","Single image — side-by-side: proprietary blend label vs Tenor disclosed-dose label","","listicle_a","{{LISTICLE_A_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/3-reasons-your-t-booster-failed-and-none-of-them-are-your-fault/","Listicle A is the past-failure/proprietary-blend variant; this ad emphasizes failed boosters or hidden-label risk."
"L11","listicle","Social Proof","810K+ Men. 90-Day Guarantee. (30 chars)","810K+ purchases. 24M+ servings. 400,000 lives impacted through giving partners. And a 90-day empty-bottle guarantee that says: if you don't feel more like yourself after consistent use, return even the empties for a full refund. No risk. No proprietary blends. No needles. Just a protocol that works. [Link]","Single image — trust bar + guarantee badge","","listicle_c","{{LISTICLE_C_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/94-more-morning-energy-92-more-like-yourself-the-21-ingredient-protocol-delivering-what-t-boosters-only-promised/","Listicle C is the desire/stat-forward variant; this ad emphasizes desired outcome, survey result, guarantee, or testimonial proof."
"L12","listicle","Desire","One Protocol. Done. (19 chars)","21 ingredients. 3 pathways. 2 capsules. $1.17 per serving. The complete protocol that replaces the DIY stack of 6-12 separate supplements you've been researching, buying, and hoping works together. All disclosed doses. All third-party tested. All in one morning routine. See the full protocol. [Link]","Single image — product bottle on natural surface, supplement facts visible","","listicle_b","{{LISTICLE_B_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/everything-youve-been-told-about-testosterone-support-is-based-on-half-the-science/","Listicle B is the mechanism/contrarian variant; this ad emphasizes incomplete science, pathways, or protocol architecture."
"PDP1","pdp","Desire","$35/mo. 90-Day Guarantee. (25 chars)","Quarterly Plan: $35/month. 3 free gifts in your first shipment. 90-day empty-bottle guarantee. 21 disclosed active ingredients supporting Leydig cell function, nitric oxide circulation, and stress response — the three systems that determine how you actually feel. Start the protocol risk-free. [Link]","Single image — product + gift stack (pill caddy, shaker, cap)","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
"PDP2","pdp","Social Proof","""I Knew I Wasn't Going Back"" (30 chars)","""By month two, my wife said I seemed more like myself. That was the moment I knew I wasn't going back."" — David M., 52. Three pathways supported. 21 ingredients disclosed. 2 capsules every morning. One 90-day risk-free trial. See the full protocol and pricing. [Link]","Single image — testimonial quote card, brand colors","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
"PDP3","pdp","Fear","Check Your Label First (23 chars)","You're one ""proprietary blend"" away from wasting another 3 months and $100+ on a supplement that can't work. Before you buy another T-booster, check the label for those three words. Then look at what a disclosed-dose protocol actually contains — 400mg Tongkat Ali, 50mg Zinc, 250mg Maca, 250mg L-Arginine. [Link]","Single image — comparison: hidden blend vs disclosed doses","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
"PDP4","pdp","Curiosity","Every Dose. Right There. (24 chars)","What does a supplement label look like when the company has nothing to hide? 400mg Tongkat Ali. 50mg Zinc. 250mg Maca. 250mg L-Arginine. 125mg Ginseng-Eleutherococcus. 745mg botanical matrix. Every single active ingredient, every single dose, right on the bottle. This is what transparency looks like. [Link]","Single image — extreme close-up of supplement facts panel","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
"PDP5","pdp","Desire","Morning Energy That Lasts (25 chars)","Morning energy that doesn't crash at 2pm. Focus that stays through the afternoon. Drive that doesn't require forced motivation. These aren't superhuman outcomes — they're what 94%, 87%, and 92% of men reported after addressing all three biological pathways. 2 capsules. Every morning. $1.17/serving. [Link]","Single image — morning light, coffee + 2 capsules, warm domestic scene","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
"PDP6","pdp","Social Proof","""You Can See What You're Taking"" (33 chars)","""I was skeptical after trying three different T-boosters that did nothing. The difference here is you can actually see what you're taking — every ingredient, every dose, right on the label."" — David M., 52. The Multi-Pathway Protocol. 21 ingredients. 90-day guarantee. See the full breakdown. [Link]","Single image — testimonial card on Bone + Ink","","sales_pdp","{{PDP_URL_PENDING}}","https://shoptenorco.com/8b89a76d/daily-drive-essentials/sales-page/","Meta ads file maps this ad directly to the sales/PDP page."
